199202,24.1
199203,64.9
199204,70.3
199205,39.5
199206,38.4
199207,69
199208,85.2
199209,64.2
199210,30.7
199211,63.2
199212,41.5
199301,57.9
199302,19.5
199303,26.2
199304,48.7
199305,149.9
199306,148.1
199307,60.1
199308,36.8
199309,90.3
199310,86.2
199311,45.4
199312,105.7
199401,83.3
199402,99.1
199403,72.1
199404,60.3
199405,51.5
199406,20.9
199407,64.7
199408,57.8
199409,97
199410,41.2
199411,54.8
199412,88.9
199501,105.5
199502,92
199503,44.7
199504,27.3
199505,49.2
199506,11.6
199507,70.2
199508,7.2
199509,43.6
199510,38
199511,147.2
199512,71.2
199601,85.9
199602,62
199603,69.9
199604,60.8
199605,66.7
199606,20.7
199607,37.2
199608,102.1
199609,19.2
199610,101.7
199611,103.6
199612,54.1
199701,15.5
199702,60.1
199703,15.1
199704,48.3
199705,61.3
199706,125.2
199707,53.5
199708,80.9
199709,19.1
199710,67.6
199711,86.8
199712,90.4
199801,79.5
199802,14.1
199803,65.7
199804,115
199805,29
199806,111
199807,54
199808,45
199809,95.7
199810,75.3
199811,76.1
199812,70.3
199901,71.8
199902,36.5
199903,31.8
199904,74.9
199905,39.1
199906,56.5
199907,35.2
199908,106.6
199909,104.7
199910,29.5
199911,43.2
199912,82.3
200001,40.5
200002,45.3
200003,20.7
200004,89.3
200005,50.6
200006,34.7
200007,43.6
200008,62.7
200009,99.3
200010,86.7
200011,141.2
200012,125.6
200101,32.2
200102,48.8
200103,56.1
200104,77.5
200105,49.5
200106,41.4
200107,30.4
200108,97.1
200109,41.4
200110,90.3
200111,40.7
200112,21.6
200201,48.9
200202,125.1
200203,30.4
200204,81.5
200205,120.8
200206,82.1
200207,68
200208,50.2
200209,22.8
200210,180.6
200211,186.3
200212,105
200301,53.9
200302,21.1
200303,30.3
200304,34
200305,96.5
200306,88.4
200307,46
200308,14.4
200309,37.3
200310,106.3
200311,54.8
200312,60.2
200401,82.6
200402,19.7
200403,44.4
200404,31.2
200405,49.8
200406,50.1
200407,37.9
200408,133.8
200409,98.3
200410,120
200411,39.8
200412,44.8
200501,63.6
200502,40.6
200503,35.2
200504,57
200505,69.5
200506,28.3
200507,83.9
200508,25.3
200509,55.8
200510,101.5
200511,50.7
200512,68.9
200601,16.3
200602,38.3
200603,68.7
200604,40.8
200605,125.8
200606,19.2
200607,18.2
200608,57.6
200609,89.5
200610,102.7
200611,69.1
200612,94.4
200701,72.8
200702,77.8
200703,62.1
200704,14.7
200705,35
200706,134.4
200707,119.1
200708,95.5
200709,39.2
200710,15.7
200711,54
200712,64.1
200801,96.9
200802,14.7
200803,102.4
200804,27
200805,32.7
200806,76.4
200807,111.5
200808,192.4
200809,111.8
200810,97.4
200811,39.6
200812,39.5
200901,62
200902,56.8
200903,25.5
200904,71.6
200905,75
200906,76.2
200907,153.9
200908,69.1
200909,24.2
200910,84.9
200911,149.4
200912,71.6
201001,42.7
201002,36.7
201003,54.8
201004,26.7
201005,48.8
201006,43.3
201007,74.7
201008,48
201009,105.5
201010,29.6
201011,100.5
201012,57.6
201101,29.4
201102,75.9
201103,19.4
201104,28.4
201105,37.1
201106,64.2
201107,42.6
201108,39.7
201109,87.3
201110,147.4
201111,48.5
201112,52.2
201201,62.7
201202,20.5
201203,25.6
201204,93.1
201205,57.5
201206,147.9
201207,85.6
201208,77.6
201209,83.9
201210,70.5
201211,72
201212,52.3
201301,94.4
201302,47.3
201303,85.5
201304,40.1
201305,45.8
201306,60.8
201307,72
201308,45.3
201309,39.5
201310,123.4
201311,26.8
201312,84
201401,100.6
201402,88.5
201403,53.7
201404,37.2
201405,88.5
201406,36.2
201407,36.6
201408,171.4
201409,26.5
201410,90.3
201411,140.8
201412,56.2
201501,47.4
201502,34.6
201503,57.5
201504,43.9
201505,90.5
201506,14.1
201507,69.2
201508,100.1
201509,56.7
201510,49
201511,123
201512,192.1
201601,118.8
201602,63
201603,33.2
201604,88.8
201605,45.6
201606,58.6
201607,43.6
201608,61.9
201609,62.4
201610,54.2
201611,36.9
201612,46.9
201701,21.6
201702,41.6
201703,67.2
201704,10.1
201705,43.4
201706,86.4
201707,42.2
201708,73.3
201709,83.6
201710,46.4
201711,81.5
201712,63.1
201801,93.1
201802,44.2
201803,87.8
201804,68.1
201805,19.1
201806,4.8
201807,40
201808,48.1
201809,43.7
201810,42.6
201811,133.6
201812,78.6
201901,26.8
201902,30.5
201903,92.5
201904,74.8
201905,33.2
201906,83.2
201907,40.7
201908,89.6
201909,106.4
201910,45.6
201911,171.4
201912,157.1
202001,36
202002,130.5
202003,31.7
202004,12.9
202005,9.2
202006,68.1
202007,97.8
202008,87.3
202009,60.9
202010,80.9
202011,47.8
202012,83.2
202101,115.1
202102,55
202103,32.2
202104,10.8
202105,83.5
202106,12.6
202107,72.9
202108,65.3
202109,44.1
202110,77.9
202111,12.1
202112,85.4
